Maiz Amarillo;2275.0;150000.0;18696.0;133579.0;7;2023
Maiz Chancado;0.0;0.0;0.0;0.0;7;2023
Torta de Soya;79450.0;33800.0;3580.0;109670.0;7;2023
Torta de Girasol;850.0;180940.0;2180.0;179610.0;7;2023
Polvillo;89198.0;0.0;3890.0;85308.0;7;2023
Afrecho;45594.0;242020.0;11815.0;275799.0;7;2023
Integral;155137.0;179880.0;3606.0;331411.0;7;2023
Torta de Palmiste;70920.0;115680.0;31000.0;155600.0;7;2023
Cascarilla Palmiste;50684.0;456120.0;23810.0;482994.0;7;2023
Sal;6775.0;0.0;39.0;6736.0;7;2023
Bicarbonato;9.69;62.0;0.0;71.69;7;2023
Pancamel;7893.0;0.0;0.0;7893.0;7;2023
Prime 100;50.0;50.0;0.0;100.0;7;2023
Progras;0.0;0.0;0.0;0.0;7;2023
Fosfato;612.0;250.0;0.0;862.0;7;2023
B. Aves;0.0;0.0;0.0;0.0;7;2023
Melaza;3236.0;0.0;0.0;3236.0;7;2023
Procreating;1.32;0.0;0.0;1.32;7;2023
Toxibond;148.0;25.0;0.0;173.0;7;2023
Calcio;18123.0;56000.0;11681.5;62441.5;7;2023
Metionina;50.0;25.0;0.0;75.0;7;2023
Pre. Postura;3.19;0.0;0.0;3.19;7;2023
B. Ganado;0.0;15000.0;4000.0;11000.0;7;2023
Lisina;26.48;0.0;0.0;26.48;7;2023
Colina;61.82;25.0;0.0;86.82;7;2023
Fungiker;25.0;0.0;0.0;25.0;7;2023
P. Pollo;40.0;25.0;0.0;65.0;7;2023
Aceite;328.0;360.0;0.0;688.0;7;2023
Novafil;31.89;20.0;0.0;51.89;7;2023
Coccidiostato;13.62;0.0;0.0;13.62;7;2023
Zimbacitracina;34.23;0.0;0.0;34.23;7;2023
Urea;22.63;0.0;0.0;22.63;7;2023
Nucleo de Cerdo;191.32;67.0;0.0;258.32;7;2023
DDGS;0.0;0.0;0.0;0.0;7;2023
Pepa de Algodon;360.0;0.0;0.0;360.0;7;2023
Maiz Amarillo;133579.0;75000.0;0.0;208579.0;8;2023
Maiz Chancado;0.0;0.0;0.0;0.0;8;2023
Torta de Soya;109670.0;71095.0;15000.0;165765.0;8;2023
Torta de Girasol;179610.0;25320.0;5850.0;199080.0;8;2023
Polvillo;85308.0;0.0;25820.0;59488.0;8;2023
Afrecho;275799.0;121010.0;47000.0;349809.0;8;2023
Integral;331411.0;89940.0;15000.0;406351.0;8;2023
Torta de Palmiste;155600.0;67805.0;0.0;223405.0;8;2023
Cascarilla Palmiste;482994.0;228060.0;0.0;711054.0;8;2023
Sal;6736.0;0.0;57.0;6679.0;8;2023
